antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Cheap', 'Speed_Slow', 'Positive_review'})",frozenset({'On_time_delivery'}),0.14457524657970092,0.9221853552111268,0.13701195400209082,0.9476861167002013,1.0276525335660274,1.0,0.0036867788802530943,1.487456863848849,0.03145624057414404,0.14736451010491117,0.32771159668290245,0.548129617569382
"frozenset({'Low', 'Cheap'})",frozenset({'Positive_review'}),0.16433798463706195,0.7680469069587746,0.1295395663833462,0.7882509127115831,1.026305692490593,1.0,0.0033202855870121672,1.0954148422150656,0.030672017212742663,0.16135058935425795,0.08710384279815386,0.47845596091851567
"frozenset({'On_time_delivery', 'Cheap', 'Medium'})",frozenset({'Positive_review'}),0.11784009817735558,0.7680469069587746,0.09281396300168174,0.7876263210676541,1.0254924717897866,1.0,0.0023072400808454435,1.0921932237898306,0.02817942697993907,0.11703078792324796,0.0844110930023233,0.4542352273117508
"frozenset({'Medium', 'Expensive'})",frozenset({'Positive_review'}),0.08652333984818872,0.7680469069587746,0.06811508567792374,0.7872452195839463,1.0249962762055653,1.0,0.001661102127779493,1.090236809662412,0.02669657648872834,0.08661025961116121,0.08276808200078428,0.43796566036660417
"frozenset({'On_time_delivery', 'Speed_Slow', 'High'})",frozenset({'Positive_review'}),0.2343620744511613,0.7680469069587746,0.18425526112449434,0.7861991389007409,1.0236342751692646,1.0,0.0042541947338378405,1.0849025202641205,0.03015602053969848,0.2252086087932356,0.07825820170779109,0.5130500955543603
"frozenset({'Low', 'Medium'})",frozenset({'On_time_delivery'}),0.11344938866415163,0.9221853552111268,0.1070860415435662,0.9439102564102564,1.0235580635458648,1.0,0.0024646767598303504,1.3873239528073393,0.025961128768949997,0.11532625189681334,0.27918782201054365,0.5300161464908988
"frozenset({'On_time_delivery', 'Speed_Slow', 'Medium'})",frozenset({'Positive_review'}),0.334175719285487,0.7680469069587746,0.26235171128585066,0.7850711351704253,1.0221656100134056,1.0,0.00568908370790866,1.0792086638765332,0.03256857777569399,0.31237146877367683,0.07339513342305323,0.5633270315627719
"frozenset({'Low', 'Cheap'})",frozenset({'On_time_delivery'}),0.16433798463706195,0.9221853552111268,0.15474751147675106,0.941641774532581,1.0210981655819071,1.0,0.0031974287395414025,1.3333963492827015,0.024725582883140085,0.1660780487804878,0.2500354447963289,0.5547234945904563
frozenset({'Low'}),frozenset({'On_time_delivery'}),0.3335575655652016,0.9221853552111268,0.3139766374255716,0.9412967050936145,1.0207239789425113,1.0,0.00637473534146743,1.3255583849759156,0.030465070173079315,0.33339124895027944,0.2456009396989562,0.6408834553118523
"frozenset({'On_time_delivery', 'High', 'Medium'})",frozenset({'Positive_review'}),0.08907776919230945,0.7680469069587746,0.06971501295395664,0.7826308807021124,1.0189883893954936,1.0,0.001299107847015743,1.0670931261553833,0.02045679497835177,0.08853715697479768,0.06287466811553025,0.4367000466311637
"frozenset({'Low', 'Medium'})","frozenset({'On_time_delivery', 'Positive_review'})",0.11344938866415163,0.7413935730194082,0.08562338075542021,0.7547275641025641,1.0179850373248474,1.0,0.0015127331368372798,1.0543640015412563,0.019928123923024288,0.11131201399229478,0.05156094238971339,0.43510867212816084
"frozenset({'Low', 'Medium'})",frozenset({'Positive_review'}),0.11344938866415163,0.7680469069587746,0.08866869687741466,0.7815705128205127,1.017607786372433,1.0,0.0015342448175491297,1.061912913116101,0.019517347985776843,0.11183855988075443,0.058303192617200815,0.4485087470421729
"frozenset({'Low', 'Expensive'})",frozenset({'On_time_delivery'}),0.055770192263988,0.9221853552111268,0.05214308440525431,0.9349633251833741,1.01385618400904,1.0,0.0007126298420956981,1.1964732976935775,0.014474033763640015,0.05632143277954518,0.16421034892489117,0.49575313974679575
"frozenset({'On_time_delivery', 'Speed_Slow', 'High', 'Medium'})",frozenset({'Positive_review'}),0.06882414435707468,0.7680469069587746,0.0535793827553293,0.7784968960507198,1.0136059256241574,1.0,0.0007192115577938918,1.0471776192099682,0.01441541816866965,0.0684028503121881,0.045052165310371074,0.42412872829853154
"frozenset({'Low', 'Speed_Slow', 'Medium', 'Positive_review'})",frozenset({'On_time_delivery'}),0.034971137675560204,0.9221853552111268,0.03261669924094359,0.9326748115414607,1.0113745639865779,1.0,0.0003668282214698837,1.155802851362141,0.011654198975578617,0.03527884842287422,0.13480054247878323,0.4840218653300975
frozenset({'Expensive'}),frozenset({'Positive_review'}),0.3292850324985228,0.7680469069587746,0.2555792918503704,0.7761643154901581,1.0105688968444986,1.0,0.0026729411320604024,1.03626503320576,0.01559285834738158,0.30362754732874714,0.03499590552966117,0.5544647637647976
frozenset({'Expensive'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.3292850324985228,0.7413935730194082,0.24655242943502567,0.7487507936946138,1.0099235020951727,1.0,0.0024226226491338987,1.029282562852211,0.014650029149443192,0.29916830285247853,0.02844948890523036,0.5406517434515223
"frozenset({'Low', 'Cheap', 'Speed_Slow', 'Positive_review'})",frozenset({'On_time_delivery'}),0.04549793191218581,0.9221853552111268,0.04228898686423344,0.9294705294705294,1.0078999023550257,1.0,0.0003314603624227086,1.1032926265391227,0.008211593579822193,0.04569834377885617,0.09362214887915782,0.4876639453010886
"frozenset({'On_time_delivery', 'Cheap', 'Speed_Slow', 'Medium'})",frozenset({'Positive_review'}),0.08779600927230581,0.7680469069587746,0.06795145675196582,0.7739697659971008,1.0077115850407872,1.0,0.0005200033870474408,1.0262038353605833,0.008389101190107611,0.08624469263429942,0.025534727563531322,0.43122141083057586
frozenset({'Cheap'}),frozenset({'On_time_delivery'}),0.34014817508295075,0.9221853552111268,0.3160129085041589,0.9290448447271368,1.0074382980354741,1.0,0.002333242840871441,1.0966735889680086,0.01118944888625675,0.3339385206532181,0.08815165236082723,0.6358615716562885
