antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,num_groups
"frozenset({'Cheap', 'State_SP', 'Speed_Normal'})","frozenset({'Low', 'Positive_review'})",0.0648061451752193,0.26336075632925776,0.044507067860551794,0.6867723383363726,2.6077246584064295,1.0,0.02743967245242236,2.3517694438552277,0.6592472012279775,0.1569029611588258,0.5747882503479116,0.4278844605630294,3
"frozenset({'On_time_delivery', 'Cheap', 'State_SP', 'Speed_Normal'})","frozenset({'Low', 'Positive_review'})",0.0637971001318122,0.26336075632925776,0.043770737693741193,0.6860929039612425,2.6051447965295114,1.0,0.026969085151413743,2.3466791702593137,0.6581310280609775,0.15445563610701224,0.5738659069064401,0.4261467937016526,3
"frozenset({'On_time_delivery', 'Cheap', 'State_SP'})","frozenset({'Low', 'Positive_review'})",0.15018408254170265,0.26336075632925776,0.10105904277078315,0.6729011561043521,2.5550547677767166,1.0,0.06150644920398466,2.2520386648194552,0.7161774032130435,0.3234036363636364,0.5559578902344602,0.5283148561233506,3
"frozenset({'Light', 'On_time_delivery', 'State_SP'})","frozenset({'Low', 'Positive_review'})",0.15220217262851687,0.26336075632925776,0.10169537748284169,0.6681598279878158,2.5370515991094433,1.0,0.06161129818443923,2.2198615652950395,0.7146063116541564,0.3240072986358502,0.5495214586198346,0.527152296721463,3
"frozenset({'Speed_Fast', 'Medium'})","frozenset({'Low', 'On_time_delivery', 'Positive_review'})",0.048070542248079634,0.25436116540157266,0.030234989318667332,0.6289712556732223,2.4727487573829676,1.0,0.018007710170960263,2.009652475716862,0.6256679465108866,0.11107771432388201,0.5024015285810595,0.3739188146419433,3
"frozenset({'On_time_delivery', 'Heavy', 'Speed_Slow', 'Expensive'})","frozenset({'High', 'Positive_review'})",0.11310394982046271,0.24965228853233945,0.06891504931594018,0.6093071853399775,2.4406232721597867,1.0,0.040678389401214786,1.920556722090235,0.6655442831826113,0.23453161737408737,0.47931764342182437,0.44267565872249576,3
"frozenset({'Speed_Fast', 'Medium'})","frozenset({'Low', 'Positive_review'})",0.048070542248079634,0.26336075632925776,0.0304622517158311,0.6336989409984871,2.406201097806033,1.0,0.017802357352219307,2.01102133223071,0.6139185352098198,0.10841853241879125,0.5027402325510103,0.3746831662639738,3
"frozenset({'On_time_delivery', 'Speed_Fast', 'Medium'})","frozenset({'Low', 'Positive_review'})",0.047770555883823465,0.26336075632925776,0.030234989318667332,0.6329210275927687,2.4032473038674027,1.0,0.017654099590834513,2.006759577755184,0.6131887048882243,0.10763754045307443,0.5016842021909632,0.37386274361240723,3
"frozenset({'Low', 'Medium', 'Speed_Normal'})","frozenset({'On_time_delivery', 'State_SP', 'Positive_review'})",0.0675878369165038,0.32467615108404163,0.04692513976637425,0.6942837928715534,2.1383886391207088,1.0,0.0249809810162279,2.208989360620391,0.5709472485068645,0.13588143936402644,0.5473042931636614,0.4194064277382742,3
"frozenset({'Speed_Fast', 'Medium'})","frozenset({'On_time_delivery', 'State_SP', 'Positive_review'})",0.048070542248079634,0.32467615108404163,0.03307122403527112,0.6879727685325264,2.1189507336325617,1.0,0.017463865397641814,2.164310613980356,0.5547347086001678,0.09736123748862602,0.5379591110719026,0.3949159396476049,3
"frozenset({'Low', 'Medium', 'Speed_Normal'})","frozenset({'State_SP', 'Positive_review'})",0.0675878369165038,0.33513022135357484,0.047697831916731055,0.7057162071284464,2.1057969773006224,1.0,0.025047105170093818,2.259280989139017,0.5631848588660411,0.13435243508987554,0.5573813063504388,0.42402123490475374,3
"frozenset({'Low', 'On_time_delivery', 'Medium', 'Speed_Normal'})","frozenset({'State_SP', 'Positive_review'})",0.06652424889777737,0.33513022135357484,0.04692513976637425,0.7053839846952719,2.104805653892567,1.0,0.024630853507881814,2.256733321027151,0.5623035762875631,0.1322843524165855,0.556881625895943,0.422702299948135,3
"frozenset({'Low', 'Light', 'Speed_Normal'})","frozenset({'On_time_delivery', 'State_SP', 'Positive_review'})",0.06433343938911867,0.32467615108404163,0.043807099677287395,0.6809382506711884,2.0972844737676133,1.0,0.022919566190429865,2.1165929489717614,0.5591660351740627,0.1269026175804498,0.5275426007226384,0.4079318871230284,3
"frozenset({'Speed_Fast', 'Medium'})","frozenset({'State_SP', 'Positive_review'})",0.048070542248079634,0.33513022135357484,0.03333484841598109,0.6934568835098335,2.0692162011202524,1.0,0.01722495695179579,2.168927445701601,0.5428188169863377,0.09527892535141737,0.5389426225474676,0.3964626141630977,3
